,news_headline,news_article,news_category
10,Mexico offers Assange asylum after UK blocks US' extradition bid,"Mexican President Andrés Manuel López Obrador offered political asylum to WikiLeaks founder Julian Assange after a UK judge blocked his extradition to US to face espionage charges. Obrador said, ""Assange is a journalist and deserves a chance. I am in favour of pardoning him."" Obrador, who called the decision a ""triumph of justice"", added that Mexico will give Assange ""protection"". ",technology
11,"Pak agency, terror groups recruiting online in J&K using apps: Report","Pakistan's intelligence agency and terror groups are carrying out recruitment in Jammu and Kashmir using applications in cyber and mobile space, PTI reported. Two surrendered terrorists earlier gave insights into their joining of terror modules that showed cyber recruitment was being carried out on a large scale. Both were trained online using various links available on platforms like YouTube.",technology
12,Apple supplier Foxconn plans to invest $200M in Chinese EV startup: Report,"Apple supplier Foxconn is in talks to invest around $200 million in Chinese electric-vehicle startup Byton, Bloomberg reported. Foxconn and Byton aim to start mass production of the Byton M-Byte by the first quarter of 2022. Foxconn is also talking to other Chinese electric-car makers on potential collaborations.",technology
13,Reliance's affidavit in HC full of false claims: Farmers' body,"A pan-India farmers' body has alleged that the affidavit filed by Reliance Industries Limited (RIL) in the Punjab and Haryana High Court against the vandalism of telecom towers is full of ""false claims"" and a ""ploy to serve RIL's business interests"". Large tracts of land have been taken over by Reliance in Maharashtra, the All-India Kisan Sangharsh Coordination Committee said.",technology
14,Tesla Full Self-Driving's safety to be above avg driver's in 2021: Musk,"Tesla CEO Elon Musk tweeted he is confident Tesla's ""Full Self-Driving will work at a safety level well above that of the average driver this year"". He said this in response to a post talking about Musk being confident that Tesla will be able to achieve level five autonomy next year. Tesla recently released an update featuring in-car video games.",technology
15,Streaming platform Quibi plans to sell content catalogue to Roku: WSJ,"US-based mobile-focused streaming platform Quibi is in advanced talks to sell its content catalogue to video-streaming device maker Roku, the Wall Street Journal reported. Under the terms discussed, Roku would acquire rights to Quibi's library. Earlier in October, Quibi had announced its closure, six months after launch. Founded by Jeffrey Katzenberg, Quibi was launched on April 6.",technology
16,IIT-B researchers create AI model to identify malaria parasites,"Researchers from IIT-Bombay have created an AI-based model using proteomics technology that can help differentiate between two major species of malaria parasites, P falciparum and P vivax. These species are not differentiable using the rapid diagnostic tests (RDT), Shalini Aggarwal, who was part of the study, said. The researchers are currently working on developing a diagnostic kit prototype.",technology
17,10 cr Indians' data leaked from Juspay server being sold on dark web: Report,"Data of 10 crore Indians is being sold on the dark web for an undisclosed amount, security researcher Rajshekhar Rajaharia reported. The data has been leaked from a compromised server of Bengaluru-based digital payments gateway Juspay. No card numbers or financial information were compromised and the actual number is much lower than the 10 crore-figure being reported, Juspay said.",technology
18,Have to ensure digital markets remain open to new entrants: CCI Chairman,"The challenge for Competition Commission of India (CCI) is to ensure that digital markets remain open to new entrants and that competition on and between digital platforms is merit-based, Chairman Ashok Kumar Gupta said. Digital markets are often ""winner-take-all markets"" and a one-size-fits-all approach doesn't work, he added. The CCI is also studying mergers and acquisitions in digital markets.",technology
19,"Bitcoin sinks 17%, a day after breaching $34,000-mark","Cryptocurrency Bitcoin on Monday sank as much as 17% to record a 24-hour low of $28,154 in the biggest intraday retreat since March 2020. The digital currency had breached the $34,000-mark for the first time on Sunday, on the event of its 12th anniversary of creation. Bitcoin is still up more than 300% over the past year.",technology
20,3 biggest Chinese telcos' shares drop 5% over NYSE's move to delist them,China's three biggest telecommunication companies' shares declined as much as 5% in Hong Kong on Monday after the New York Stock Exchange (NYSE) announced its move to delist the companies. China Mobile's shares fell as low as 4.5% to record their lowest price since 2007. China Telecom fell as much as 5.6% and China Unicom lost 3.4%.,technology
21,68-yr-old B'luru man loses ₹7 lakh while booking flight ticket via app,"A 68-year-old man in Bengaluru lost ₹7 lakh to cybercriminals while booking a flight ticket through an app. The man received a text saying his payment had not been received, however, he found ₹7 lakh had been deducted from his bank account. On calling up the customer care, a man asked the victim for another bank account number.",technology
22,"Over 200 Google, Alphabet employees form workers' union in US","Over 200 Google and Alphabet employees in US announced the creation of a workers' union on Monday. ""[We'll]…ensure that workers know what they're working on, and can do their work at a fair wage, without fear of abuse, retaliation or discrimination,"" the Alphabet Workers Union said. The union will be open to all employees, regardless of their role or classification. ",technology
23,651 billionaires in US added $1 tn to their net worth in 2020: Report,"The collective wealth of 651 billionaires in America increased by roughly $1 trillion in 2020, according to data by ATF and IPS. Their total net worth rose from $2.95 trillion on March 18, 2020 to $4.01 trillion on December 7, 2020. Over one-fourth of the $1-trillion went to 10 people, including Jeff Bezos, Elon Musk, Bill Gates and Mark Zuckerberg.",technology
24,Extremely disappointed in UK court's decision of not extraditing Assange: US,"The US justice department said it was ""extremely disappointed"" in UK court's decision not to extradite WikiLeaks Founder Julian Assange to face trial for publishing US secrets. ""We are gratified that the United States prevailed on every point of law raised,"" DOJ added. The UK court had said Assange was likely to commit suicide if extradited to the US.",technology
25,Lara named daughter after Sydney where he hit 277 as 1st hundred,"Ex-West Indies captain Brian Lara named his first daughter Sydney, after the city where he went on to convert his maiden Test ton into a double hundred on January 5, 1993. Lara, who began the day four of the Test against Australia at the Sydney Cricket Ground at 121*, scored 277 in the innings, helping Windies draw the Test.",sports
26,What led to the birth of One Day International cricket?,"The first-ever One Day International was an impromptu one, played between England and Australia in Melbourne on January 5, 1971. The 40-overs-per-side (eight balls per over) match was played on what would have been the fifth day of the washed-out third Ashes Test. It was played to appease the crowd and recover financial losses for the Don Bradman-led Australian board.",sports
27,"Teams complain of food quality during quarantine at Mumbai hotel, pics surface","Several Syed Mushtaq Ali Trophy teams have complained about the food quality at a Mumbai hotel where they're quarantining. Several players said the food was ""too cold"" and that the breakfast was ""below standard"". ""The roti is like papad. They're serving rice which many players don’t eat...especially pacers. They fear they could gain weight with this food,"" a player said.",sports
28,"NZ fan trolls Australia with 'bats for sale' placard, pic goes viral","During the second day of the second New Zealand-Pakistan Test, a Kiwi fan was spotted holding a placard trolling Australia. ""Cricket bats for sale. Barely used. Call: Steve Smith, Joe Burns @ Cricket Australia,"" the placard read. ""Someone buy it before Smith starts whacking in Sydney,"" a fan tweeted. ""And we thought Australia were masters of sledging/mental disintegration,"" wrote another.",sports
29,"Captain once dropped himself, replacement broke his ribs","England captain Mike Denness left himself out of the team for an Ashes Test that started on January 4, 1975, after scoring 65 runs in previous six innings. John Edrich replaced Denness as captain and broke his ribs after getting hit by the first ball he faced in the second innings. Australia went on to win by 171 runs.",sports
30,KL Rahul to return to India after injuring himself in the nets in Australia,"Team India wicketkeeper-batsman KL Rahul has been ruled out of the remaining two Tests against Australia. The 28-year-old sprained his left wrist while batting in the nets at the MCG on Saturday. ""He will now return to India and head to the National Cricket Academy in Bengaluru for further rehabilitation of his injury,"" the BCCI said in a statement.",sports
31,Either you rule yourself out or once selected respect the bio bubble: Manjrekar,"After videos and photos showed Indian players outside the bio-bubble, potentially violating the bio-security protocols, commentator Sanjay Manjrekar tweeted, ""Either rule yourself out for selection or once selected respect the bio bubble & the strict protocols. Can't have it both ways."" A video showed five Team India cricketers having lunch inside a Melbourne restaurant. ",sports
32,It portrays us in poor light: BCCI official on Aus politician's 'Don't come' remark,"Reacting to Queensland's Shadow Health Minister Ros Bates' statement that Team India shouldn't come to Brisbane if they don't want to play by rules, a BCCI official said, ""The statement portrays Indians in poor light."" He added, ""To try and propagate a view that we don't wish to follow...rules is unacceptable and...tone...in which it was said seemed rife with hostility.""",sports
33,All Fortune oil ads featuring Ganguly pulled down by Adani Wilmar: Reports,"Adani Wilmar has reportedly removed all ads of its Fortune Rice Bran cooking oil featuring Sourav Ganguly across platforms after the BCCI President suffered a mild heart attack. Social media users had trolled the ad campaign featuring Ganguly for promoting heart health. The creative agency for the brand is working on a ""fresh redressal campaign"", reports said. ",sports
34,"SA-SL series broadcaster compares Rassie to Sachin with 6-match data, trolled","SuperSport, the official broadcaster of the South Africa-Sri Lanka Test series, compared Rassie van der Dussen to Sachin Tendulkar by highlighting their record after their first six Tests. Trolling the broadcaster, a fan tweeted, ""Somebody tell them Rassie is already 31."" Another wrote, ""According to new Babar Azam law of cricket, Rassie is already as good as Sachin is!""",sports
35,"Australians are bad losers, bio-bubble controversy a big gimmick: Pragyan Ojha","Reacting to five India cricketers being placed in isolation over potential 'bio-bubble' breach, ex-India spinner Pragyan Ojha said, ""Everybody knows Australians are bad losers. They couldn't take MCG defeat."" ""It's a big gimmick to take pressure off Australia and try to get under the skin of Indians...They don’t know we exactly know what they are trying to do,"" he added.",sports
36,"Nurse approaches player for inside info for IPL betting, said she'll delete texts","A Delhi-based nurse has been accused of asking an India cricketer confidential team information on social media during IPL 2020 as she wanted to bet on matches. The cricketer reported the matter to BCCI's Anti-Corruption Unit. As per an official, the nurse told the cricketer she would delete all the messages after he responded to her with an angry emoji.",sports
37," Azad trolls Ganguly with ad of him promoting 'heart healthy' refined oil, criticised","Congress leader and former cricketer Kirti Azad took to Twitter to take a dig at Sourav Ganguly while wishing him a speedy recovery from heart surgery. Azad shared an old ad of Ganguly promoting 'heart healthy' refined oil. Criticising Azad, a user wrote, ""Distasteful...You really are a disgrace."" ""Not good to write such a sentence,"" wrote another.",sports
38,Moeen Ali tests positive for COVID-19 as England arrive in Sri Lanka,"Moeen Ali tested positive for COVID-19 after England arrived in Sri Lanka on Sunday ahead of their two-Test series. Moeen will now undergo a 10-day period of self-isolation, as per the Sri Lankan government's quarantine protocols. Moreover, Chris Woakes has also entered self-isolation after being deemed a close contact. England players are again set to be tested on Tuesday. 
",sports
39,Can't rely on Jadeja to be making hundreds batting in top 6: Hussey,"Ex-Australia cricketer Michael Hussey has said that all-rounder Ravindra Jadeja is perfectly placed at number seven in Team India. ""At No.7  he can come in and make those handy runs at length...[but]...If you're going to rely on him in the top six to be making hundreds...to set up Test matches, I'm not sure [if] he's quite there yet,"" he added. ",sports
40,"Shakib back in Bangladesh side, named in preliminary squad for WI series","On Monday, Bangladesh all-rounder Shakib Al Hasan marked his return to the national side since serving his 12-month ban after he was included in the preliminary squad for Test and ODI series against West Indies. Shakib was banned for two years, one year of which was suspended, for failing to report corrupt approaches by an alleged Indian bookie during IPL.",sports
41,Akhtar names his pick between Dravid and Sachin for Test batsman,"During a question-answer session on Twitter, former Pakistan pacer Shoaib Akhtar was asked to pick Test batsman between former India cricketers Rahul Dravid and Sachin Tendulkar. Replying to the user, Akhtar named Rahul Dravid. On being asked to name the best all-format batsman, Akhtar took the name of India captain Virat Kohli and Pakistan skipper Babar Azam.",sports
42,Williamson slams his 3rd ton in 3 Tests as NZ end Day 2 at 286/3 vs Pak,Kane Williamson on Monday slammed his third century in as many Tests to help New Zealand end the second day of the second Test at 286/3 in reply to Pakistan's 297. Williamson had slammed 251 in the first Test against the West Indies and 129 in the first Test against Pakistan. This is Williamson's 24th Test career hundred. ,sports
43,David Warner very likely to play third Test against India: Aus coach Langer,"Coach Justin Langer on Tuesday said Australia opener David Warner is ""very likely"" to play against India in Sydney. ""Very hopeful that David will be ready for the third Test...we'll get some final eyes on him this (Tuesday) afternoon during training,"" Langer said. ""Warner's batting will be fine...some different movements he might need to make in the field,"" he added.",sports
44,"Deferring angioplasty safer option, Ganguly is stable: Hospital",BCCI President Sourav Ganguly is likely to be released from the Woodlands hospital in Kolkata on Wednesday with the medical board stating that angioplasty for Ganguly's two blocked arteries can be performed on a later date. Ganguly was hospitalised on Saturday following a mild cardiac arrest and was diagnosed with blockages in three coronary arteries. ,sports
45,I've already come up with a couple of different plans for Rahane: Lyon,"Talking about the Sydney Test, Australia spinner Nathan Lyon said Ajinkya Rahane played him well at Melbourne so he has come up with ""a couple of different plans"" for him. ""Rahane is...a world-class batter which...helps with everything. He doesn't seem to get flustered too much, he doesn't buy into any sledging...He's a pretty calm and collected batter,"" Lyon added. ",sports
46,Rahane took blows on his body while preparing for Aus tour: Pravin Amre,"Ex-India cricketer Pravin Amre said India's stand-in-captain Ajinkya Rahane took blows on his body during practice sessions before the Australia tour. ""He was aware that there will be sessions in Australia where he has to take blows on his body to survive that session,"" Amre said. He added that Rahane also worked on reducing his reaction time before reaching Australia.",sports
47,Not at all surprised: Laxman on Williamson's 3rd ton in 3 Tests,"Reacting to New Zealand captain Kane Williamson's third ton in as many Tests, former India batsman VVS Laxman said that he's ""not at all surprised"" by Williamson's consistency. ""Unbelievable work ethics and attention to detail while preparing for any match are the reasons behind his success,"" Laxman tweeted. Williamson scored 251 against West Indies, 129 in first Test against Pakistan. ",sports
48,This will embolden India's resolve: Dasgupta on claims of COVID-19 protocol breach,"Ex-India wicketkeeper Deep Dasgupta has said that the claims of Team India players breaching the COVID-19 bio-security protocols will ""further galvanise"" the team and ""embolden their resolve"". ""[This is] to distract the attention from the fragile batting of the Australian side. Now, suddenly the focus after the Melbourne Test is not on the Australian side,"" he added. ",sports
49,"Stop complaining, get on with the game: Lyon on stricter quarantine protocols","Australia off-spinner Nathan Lyon said both India and Australia should ""stop complaining"" about stricter quarantine measures in Brisbane. ""In my eyes it is a very small sacrifice for us to go out there and play the game we love and put a lot of smiles on a lot of people's faces around the world,"" said Lyon.",sports
50,New national lockdown announced in England,"UK Prime Minister Boris Johnson on Monday announced a new national lockdown for England until at least mid-February to combat the new variant of the coronavirus, with people urged to ""stay at home"". He said that people will be asked to shield if they are vulnerable. He further said that schools and colleges will move to remote learning from Tuesday.",world
51,82-yr-old UK patient on dialysis becomes 1st in world to get Oxford COVID-19 vaccine,"An 82-year-old man has become the first person in the world to receive Oxford-AstraZeneca coronavirus vaccine since it was approved for use. Brian Pinker, a patient on dialysis for kidney disease, was the first to receive it on Monday. ""I'm so pleased to be getting the...vaccine...and really proud it is one that was invented in Oxford,"" he stated. ",world
52,Private Brazilian clinics to buy 50L doses of made-in-India Covaxin,"Private Brazilian clinics plan to buy 50 lakh doses of COVID-19 vaccine Covaxin developed by Bharat Biotech, Brazilian Association of Vaccine Clinics said. ""This should be the first vaccine available on [Brazilian] private market,"" it added, stating that memorandum of understanding has been signed with Bharat Biotech. The firm hasn't applied for vaccine approval by Brazil's health regulator yet.",world
53,When did billionaire Jack Ma criticise Chinese govt and what did he say?,"Billionaire Jack Ma criticised Chinese regulators in October 2020, called Chinese banks ""pawn shops"" and said China's biggest risk is that it ""lacks financial ecosystem"". Days later, $35-billion IPO of his Ant Group on the Hong Kong and Shanghai exchanges, set to be the world's biggest, was halted by regulators. They ordered Ant Group to return to its 'payments origin'.",world
54,"Julian Assange can't be extradited to US due to suicide risk, rules UK court","A British judge on Monday rejected the US' request to extradite WikiLeaks Founder Julian Assange to face espionage charges. Assange was likely to commit suicide if sent to US, District Judge Vanessa Baraitser said. Assange has been indicted on 17 espionage charges and one charge of computer misuse over WikiLeaks' publication of leaked military and diplomatic documents a decade ago.",world
55,"Indian expat wins ₹39cr in Abu Dhabi raffle, says, 'will share with friends'","Indian-origin man Abdussalam NV won 20 million dirhams (around ₹39 crore) in the Big Ticket raffle held in Abu Dhabi. Initially, Big Ticket officials could not locate the winner and put out a notice for assistance, following which Abdussalam's friend informed him. ""I'll be sharing the amount with my friends. I have to check how many are there,"" he said.",world
56,South Korea's population falls for first time in its history,"South Korea's population has fallen for the first time in the country's history as births dropped to a historic low amid the pandemic. The latest census figures show population stood at 51,829,023 at the end of December, down by 20,838 from the previous year. South Korea is also experiencing a rise in the number of people aged 60 and over.",world
57,"Dubai Crown Prince 'races' against ostriches on his cycle, shares video","Dubai Crown Prince Sheikh Hamdan bin Mohammed bin Rashid Al Maktoum shared a video on Instagram in which he is seen 'racing' against two ostriches on his cycle. A speeding ostrich overtakes Hamdan, crosses his path and moves to the other side of the road. ""This morning another close call #2021,"" he wrote while sharing the video.",world
58,"Irish broadcaster shows comic segment depicting 'god as rapist', issues apology","After receiving criticism for its comedy sketch depicting god as a rapist, Ireland's state broadcaster RTÉ issued a statement, saying, ""RTÉ wishes to apologise to those...offended by the segment."" In the mock report, the newsreader was heard saying, ""The 5 billion-year-old stood accused of forcing himself on a young Middle Eastern migrant and allegedly impregnating her against her will.""",world
59,2 men with parachutes jump from 25th floor of US hotel; video viral,"Two men with parachutes jumped from the 25th-floor rooftop bar of the Grand Hyatt hotel in US' Nashville, which stirred panic among patrons in the bar, police said. After landing, the duo got into a car which was parked nearby, and then drove away, the police added. The incident's video shot by one of the patrons has gone viral online.",world
60,Scotland to impose new COVID-19 lockdown from Monday midnight,"Most of Scotland will be placed under a lockdown from midnight on Monday for the duration of January to curb the COVID-19 outbreak, Scottish First Minister Nicola Sturgeon said. There'll be a legal requirement for people to stay at home during the lockdown, she added. The UK has identified a new COVID-19 variant that it said is 70% more transmissible.",world
61,Israel authorises use of Moderna's coronavirus vaccine,"After the US and Canada, Israel on Monday approved the use of Moderna's COVID-19 vaccine. ""Ministry of Health of Israel has secured 6 million doses and first deliveries (are) expected to begin in January,"" Moderna said in a statement. Israel, which began the COVID-19 vaccination with the Pfizer/BioNTech vaccine in December, aims to inoculate all vulnerable citizens by late January. ",world
62,Voice of desperation: Kamala Harris on Trump's Georgia phone call,"US Vice President-elect Kamala Harris has said that President Donald Trump's phone call with Georgia's top election official showed Trump's ""voice of desperation"". ""It was bald-faced, bold abuse of power,"" she added. In the audio of the call that went viral, Trump pressurised the official to ""find"" enough votes to overturn his defeat in Georgia in the November 3 election. ",world
63,Indo-Canadian MP steps down as parliamentary secy over trip to US,"Indo-Canadian MP Kamal Khera said she'll step down from her role as the parliamentary secretary to the minister of international development over a trip to the US last month amid the pandemic. Khera travelled abroad despite government guidelines urging people to avoid non-essential travel. Last week, Ontario's Finance Minister Rod Phillips resigned over a Caribbean vacation he took last month.",world
64,Brazil private clinics seek deal with Bharat Biotech for vaccine,"The Brazilian Association of Vaccine Clinics (ABCVAC) has said that it is negotiating with Indian firm Bharat Biotech to buy 50 lakh doses of its COVID-19 vaccine, Covaxin. Any final deal would be subject to approval by Brazil's health regulator, ANVISA. On Sunday, India granted emergency use approval for Covaxin, which is currently under Phase 3 clinical trials.",world
65,"Over 73,000 vaccinated against COVID-19 in Beijing since Jan 1","Over 73,000 people in China's capital Beijing have been vaccinated against coronavirus since January 1, the state media reported. The vaccination drive in the city mainly covers nine groups of people between the ages of 18 and 59, it added. China had recently approved the COVID-19 vaccine developed by state-owned Sinopharm for widespread use.",world
66,South African COVID-19 variant bigger risk than UK strain: Britain,"The new variant of COVID-19 identified in South Africa is even more of a risk than the highly infectious UK variant, British Health Secretary Matt Hancock said on Monday. ""I'm incredibly worried about the South African variant, and that's why we took the action that we did to restrict all flights from South Africa,"" he added.",world
67,Extremely disappointed in UK court's decision of not extraditing Assange: US,"The US justice department said it was ""extremely disappointed"" in UK court's decision not to extradite WikiLeaks Founder Julian Assange to face trial for publishing US secrets. ""We are gratified that the United States prevailed on every point of law raised,"" DOJ added. The UK court had said Assange was likely to commit suicide if extradited to the US.",world
68,Mexico offers Assange asylum after UK blocks US' extradition bid,"Mexican President Andrés Manuel López Obrador offered political asylum to WikiLeaks founder Julian Assange after a UK judge blocked his extradition to US to face espionage charges. Obrador said, ""Assange is a journalist and deserves a chance. I am in favour of pardoning him."" Obrador, who called the decision a ""triumph of justice"", added that Mexico will give Assange ""protection"". ",world
69,3 family members killed after their plane crashes into a house in US,Three members of a family were killed after a small plane they were travelling in crashed into a house in the US' Michigan state. Five people inside the two-storey house did not suffer any injuries but the house was severely damaged. The Federal Aviation Administration and National Transportation Safety Board are investigating the crash.,world
70,Iran resumes enriching uranium to 20% purity at Fordow facility,"Iran on Monday announced that it has resumed enriching uranium to 20% purity, beyond the 3.67% limit agreed under 2015 nuclear deal, at its Fordow site. Iran's Foreign Minister Javad Zarif said the ""measures are fully reversible upon full compliance by all (parties to the deal)."" Reacting to the move, US accused Iran of pursuing a ""campaign of nuclear extortion"".",world
71,Iran seizes S Korean-flagged tanker amid tensions over frozen assets,"Iran's Revolutionary Guard Corps (IRGC) on Monday said that it has seized a South Korean-flagged tanker for polluting the Gulf with chemicals. The ship is carrying 7,200 tonnes of ethanol, a semi-official news agency said. This comes amid tensions between Iran and South Korea over Iranian funds frozen at South Korean banks due to US sanctions.",world
72,My evil handlers can no longer control me: Greta as she turns 18,"Swedish climate activist Greta Thunberg turned 18 on Sunday. She jokingly tweeted, ""Tonight you will find me down at the local pub exposing all the dark secrets behind the climate- and school strike conspiracy and my evil handlers who can no longer control me! I'm free at last!!"" ""Thank you so much for all the well-wishes,"" she added.",world
73,US Congress passes 'Malala Yousafzai Scholarship Act' for Pak women,The US Congress has passed the 'Malala Yousafzai Scholarship Act' that'll expand the number of scholarships available to Pakistani women under merit and needs-based scholarship programme until 2022. The bill requires at least 50% of scholarships under the programme to be awarded to Pakistani women. The bill will be sent to President Donald Trump to sign into law.,world
74,Greece appoints its first openly gay minister,Nicholas Yatromanolakis has become Greece's first openly gay minister in a cabinet reshuffle announced by Greek PM Kyriakos Mitsotakis on Monday. The 44-year-old was named as the new deputy minister of culture after being promoted from the position of general secretary at the ministry. The government has retained its key ministers in the reshuffle.,world
75,"Won't get COVID-19 vaccine now, priority groups must be vaccinated first: MP CM","Madhya Pradesh Chief Minister Shivraj Singh Chouhan on Monday said that he has decided not to get vaccinated against COVID-19 for now, as the first shots should be administered to the priority groups. He said, ""My turn should come afterwards, we have to work to ensure that priority groups are administered with the vaccine.""",politics
76,Can't even call him a misled youth: MP Home Min on Akhilesh's vaccine remark,"After Samajwadi Party chief Akhilesh Yadav's remark on COVID-19 vaccine, Madhya Pradesh Home Minister Narottam Mishra said he can't even be called a misled youth. ""When he never listened to his uncle or father, why would he listen to the country? This is a policy of appeasement,"" Mishra added. ""The inoculation programme under BJP regime can't be trusted,"" Yadav said.",politics
77,India takes giant step towards defeating COVID-19: Rajnath on vaccine approval,"Defence Minister Rajnath Singh on Sunday tweeted, ""India today takes a giant step towards decisively defeating the COVID-19 pandemic with DCGI granting approval to vaccines of Serum Institute of India and Bharat Biotech."" The minister added, ""We are proud of our scientists who made this vaccine possible in a very short span of time.""",politics
78,"Watershed moment: Health Min on emergency use approval to Covishield, Covaxin","Health Minister Harsh Vardhan has called the DCGI's emergency use approval to Covishield and Covaxin vaccines ""a watershed moment in India's famed battle against COVID-19"". He tweeted, ""These vaccines are a fitting tribute to our corona warriors!"" He added, ""Urge all citizens to entrust the stringent protocols followed for ensuring safety, efficacy and immunogenicity of the approved vaccines.""",politics
79,Those who are MP because of their dad won't know hard work: Cong leader to Karti,"Taking a dig at ex-Union Minister P Chidambaram's son and MP Karti Chidambaram, newly appointed Tamil Nadu's Congress General Secretary K Mahendran said that those who became MP ""because of their father"" can't understand hard work. This comes after Karti criticised appointment of new party office bearers, saying, ""These jumbo committees serve no purpose. None will have any...accountability.""",politics
80,"Caller sends MLA a porn clip that has his face superimposed, threatens to leak it","TMC MLA Udayan Guha has lodged a complaint alleging that he was being blackmailed with a morphed pornographic video. He said he received a video call from an unidentified caller, who later sent him a pornographic clip in which his face was superimposed. The caller allegedly threatened to make the clip viral if Guha didn't pay him.",politics
81,Disgraceful to politicise such critical issue: Health Min on vaccine remarks,"Health Minister Harsh Vardhan on Sunday criticised opposition leaders for ""politicising"" emergency use approval for two COVID-19 vaccines in the country. ""Disgraceful for anyone to politicise such a critical issue,"" he tweeted. ""Shashi Tharoor, Akhilesh Yadav and Jairam Ramesh - don't try to discredit well laid out science-backed protocols followed for approving COVID-19 vaccines,"" Vardhan added.",politics
82,Congress not proud of anything Indian: Nadda on vaccines' approval,"BJP Chief JP Nadda on Sunday said Congress and the Opposition are ""not proud of anything Indian"". He said this after Congress leaders questioned DCGI's approval of two vaccines for restricted emergency use. ""Whenever India achieves something commendable that will further public good, the Congress comes up with wild theories to oppose and ridicule the accomplishments,"" said Nadda.",politics
83,PM inaugurates National Atomic Timescale and Bhartiya Nirdeshak Dravya,"PM Narendra Modi on Monday inaugurated National Atomic Timescale and Bhartiya Nirdeshak Dravya via video conferencing and dedicated them to the nation. The National Atomic Timescale generates Indian Standard Time with an accuracy of 2.8 nanoseconds. Bhartiya Nirdeshak Dravya supports testing and calibration of laboratories for quality assurance at par with international standards, said the PMO.",politics
84,PM Modi should take first shot of COVID-19 vaccine: Bihar Cong leader,"Bihar's Congress leader Ajeet Sharma has said PM Narendra Modi should take the first shot of COVID-19 vaccine. Sharma said heads of state in Russia and America took the first shots of the vaccine to remove people's doubts. He added PM Modi and the senior-most BJP leader should ""win the trust of the people"" by taking the first vaccine shots.",politics
