,news_headline,news_article,news_category
21,Hacking victim SolarWinds hires Trump's ex-cybersecurity chief as consultant,"SolarWinds, the victim of the suspected Russian cyberattack, has hired former US government cybersecurity chief Chris Krebs as a consultant. Krebs was fired by President Donald Trump for challenging claims that the US election had been compromised by fraud last year. He will work for SolarWinds alongside his new business partner Alex Stamos, Facebook's former security chief.

",technology
22,Facebook won't have access to our UPI transactions: WhatsApp,"A WhatsApp spokesperson told ET Now that Facebook will not have access to BHIM UPI transactions on WhatsApp and said its updates on policy were ""business as usual"". The WhatsApp privacy policy applies only to WhatsApp Chat and not WhatsApp Payments, which is governed by the WhatsApp India Payments policy, the spokesperson added. WhatsApp's new policy update is mandatory.",technology
23,350 Twitter staff asked CEO Dorsey to ban Trump permanently: Report,"About 350 Twitter employees wrote to CEO Jack Dorsey asking for permanent removal of President Donald Trump's account from the platform following his role in the US Capitol violence, the Washington Post reported. ""Our decisions this week will cement our place in history, for better or worse,"" the staff reportedly wrote. Twitter has now permanently banned Trump from the platform.",technology
24,Respect your users: Telegram Founder takes a dig at Facebook,"Telegram Founder Pavel Durov took a dig at Facebook and said he's heard that the social media giant has a department ""devoted to figuring out why Telegram is...popular."" ""[I'll] give away our secret for free: respect your users,"" he said. He also accused WhatsApp of ""covert marketing"" and said there are bots spreading false information about Telegram on social media.",technology
25,F***ing bat properly: Warne mocks Labuschagne in foul-mouthed chat; video viral,"Former Australian cricketers Shane Warne and Andrew Symonds mocked Australia batsman Marnus Labuschagne's batting style in a foul-mouthed chat. ""Just f***ing bat properly,"" Warne was heard saying in a video. ""Do something now to his ADD (attention deficit disorder) f***ing pills,"" Symonds said about Labuschagne's calls between the wickets. ""We'll have to give him the hog pile,"" Symonds added.",sports
26,"Australia end Day 3 of Sydney Test at 103/2, lead India by 197 runs","Australia ended the third day of the Sydney Test at 103/2, leading India by 197 runs in the second innings. India were dismissed for 244 runs in their first innings earlier in the day, with Australia's Pat Cummins picking up four wickets. India's Rishabh Pant and Ravindra Jadeja were taken for scans after suffering blows while batting.",sports
27,"Rohit ignores Labuschagne's 'What did you do in quarantine?' sledge, video viral","Australia batsman Marnus Labuschagne teased India opener Rohit Sharma during the third Test in Sydney. While fielding at short leg, Labuschagne asked Rohit, ""What did you do in quarantine?"" In the video shared by Cricket Australia, Rohit can be seen ignoring the Australian. ""This is a catch. Catch here!"" Labuschagne was later heard saying to disturb Rohit.",sports
28,Dhoni shares video of strawberries being grown in his Ranchi farmhouse,"Former India captain MS Dhoni posted on Instagram for the first time after his retirement. He shared a video from his Ranchi farmhouse and showed strawberries being grown there. In the video, Dhoni can be seen plucking a strawberry and eating it. ""If I keep going to the farm there won't be any strawberry left for the market,"" he wrote.",sports
29,Manchester City owner secretly buys oldest existing FA Cup trophy for ₹7.5 crore,"Manchester City owner Sheikh Mansour secretly bought the oldest surviving FA Cup trophy for £760,000 (₹7.5 crore). The Football Association Challenge Cup trophy, a forerunner of the FA Cup in use today, was presented to winning teams from 1896 to 1910, when the original was stolen from a shop in Birmingham after Aston Villa won the title. ",sports
30,Who are the fastest batsmen to reach 27 hundreds in Test cricket?,"Australia batsman Steve Smith today became the second-fastest batsman to reach 27 hundreds in Test cricket. Smith took 136 innings to reach 27 hundreds, 66 innings more than Don Bradman. Smith is followed by Virat Kohli and Sachin Tendulkar, who took 141 innings each. Ex-India captain Sunil Gavaskar took 154 innings, while former Australia opener Matthew Hayden took 157 innings.",sports
31,Jaffer uses 'Bajirao Mastani' dialogue to praise Jadeja for running Smith out ,"Former India opener Wasim Jaffer took to Twitter to praise all-rounder Ravindra Jadeja for running Australia batsman Steve Smith out in the Sydney Test. He used a dialogue from 'Bajirao Mastani'. ""Cheete ki chaal, baaz ki nazar aur Jadeja ke throw par sandeh nahi karte,"" he wrote. Jadeja ran to his right from square leg and executed a direct hit.",sports
32,"Fan points out 'mistake' in Hawk-Eye during review by India, pic goes viral","A fan spotted an apparent error in Hawk-Eye projection used in an LBW DRS review by India against Australia's Steve Smith in the third Test in Sydney. As per projection, the ball was seen clipping the stumps and the umpire's call stayed with India retaining the review. The fan shared a picture which showed that the stumps were shifted slightly.",sports
33,Marnus Labuschagne's picture blowing air into bat's grip goes viral,"Australia batsman Marnus Labuschagne's picture blowing air into his bat's grip while batting during the Sydney Test has gone viral. ""My grip was wearing out. It was getting too thin. If you blow air into the top of the grip, it actually expands and pushes the grip down,"" he explained. ""It probably didn't look that good on camera,"" he added.",sports
34,"Drunk supporters racially abuse Bumrah, Siraj, call them 'monkey'; complaint lodged","Team India management has lodged a complaint with the match officials after pacers Jasprit Bumrah and Mohammed Siraj were racially abused by ""drunk supporters"" at Sydney Cricket Ground. As per journalist Boria Majumdar, the two cricketers were called 'monkey' by the supporters. ICC officials and stadium security officers had long discussions with Team India management after stumps on day three.",sports
35,"Shubman Gill sledged by Labuschagne while batting, caught on stump mic","India opener Shubman Gill was sledged by Australia's Marnus Labuschagne during the second day of Sydney Test. The banter was caught on the stump mic. ""Favourite player? Who's your favourite player?"" Labuschagne said. ""I'll tell you after the match,"" Gill responded. ""After the ball? Sachin? Do you reckon Virat?"" Labuschagne added.",sports
36,"Rahane needs to take initiative on Day 3, Pujara has limitations: Gavaskar","After India ended the second day of the Sydney Test trailing Australia by 242 runs with Ajinkya Rahane and Cheteshwar Pujara at the crease, ex-India captain Sunil Gavaskar said Rahane will have to take initiative to score runs on the third day. ""Everyone knows the limitations of Pujara...he doesn't take the initiative that is required to be taken,"" said Gavaskar.",sports
37,Ravichandran Ashwin dismisses David Warner for 10th time in Tests,"Spinner Ravichandran Ashwin on Saturday dismissed Australia batsman David Warner for the 10th time in Test cricket. It is the most Ashwin has dismissed any batsman in the longest format of the game. As for Warner, England's Stuart Broad is now the only bowler who has dismissed him on more occasions than Ashwin. Broad has dismissed Warner 12 times.",sports
38,"Pant, Jadeja suffer injuries on Day 3, both taken for scans","India wicketkeeper-batsman Rishabh Pant and all-rounder Ravindra Jadeja were taken to the hospital for scans after they suffered blows on their left elbow and left thumb, respectively, while batting on the third day of the Sydney Test. Pant was replaced by Wriddhiman Saha behind the stumps during Australia's second innings. Jadeja didn't take the field as well.",sports
39,We're going to make it as hard as possible for Pujara to score: Cummins,"Talking about India batsman Cheteshwar Pujara's 50-run knock off 176 balls during India's first innings at Sydney, Australia pacer Pat Cummins said they're going to make it as hard as possible for Pujara to score. ""It's one of those things. You know (Pujara) is going to hang around. As long as you're controlling the scoreboard...you're not overly bothered,"" he added. ",sports
40,"Cummins, Lyon will cause problems for India on Day 3: Ponting","Former Australia captain Ricky Ponting has said that Australia pacer Pat Cummins and spinner Nathan Lyon will cause ""a few"" problems for India on the third day of the Sydney Test. ""Cummins' spell [on the second day] was as good a fast bowling (spell) as you'll see. He was challenging every ball with just enough sideways movement,"" he added. ",sports
41,"Being faster on feet, putting pressure on Ashwin worked: Smith on 27th ton","Talking about his 27th Test hundred, Australia batsman Steve Smith said being faster on his feet against spinners and putting pressure on Ravichandran Ashwin worked for him in the innings. ""Plenty of people said I was out of form, so it was nice to come back...in the form,"" he added. Smith had scored 10 runs in the first two Tests.",sports
42,Maha govt gives nod to conduct 64th edition of Maharashtra Kesari,"Maharashtra State Wrestling Association has got the permission to conduct the 64th edition of Maharashtra Kesari, the association's Secretary General Balasaheb Landge said. ""The COVID-19 safety norms will be strictly followed while conducting the event,"" Landge said. The event, that generally takes place during November-December, was postponed because of restrictions imposed due to COVID-19.",sports
43,It will hurt Rohit a lot as he got out after getting set: Zaheer,"Ex-India pacer Zaheer Khan has said that Rohit Sharma's dismissal in India's first innings of the Sydney Test would have hurt him as he had played out the new ball. ""When you get out after setting a platform like this and especially the way he got out caught and bowled, you don't want to get out that way,"" he added. ",sports
44,Every batsman needs to contribute if we want to cement position: Jadeja,"After India ended the second day of the Sydney Test at 96/2, trailing Australia by 242 runs, all-rounder Ravindra Jadeja said if India want to cement their position, every batsman will have to play crucial knocks. On restricting Australia to 338, Jadeja, who picked four wickets, said plan was to bowl in the ""good areas"" and not give ""easy boundaries"". ",sports
45,Have to bat in manner I know: Pujara after hitting his slowest Test fifty,"India batsman Cheteshwar Pujara on Saturday scored his slowest ever fifty in Test cricket. Talking about his dismissal off Pat Cummins' delivery, Pujara said it was one of the best balls bowled in the ongoing series. ""The way I got out today...I couldn't have done anything better...I just have to bat in the manner I know to bat,"" he added. ",sports
46,"Will rewind and play, it's my best effort: Jadeja on Smith's dismissal ","Talking about his direct hit that ran Steve Smith out on 131 off 226 balls, all-rounder Ravindra Jadeja said that it's his best fielding effort so far. ""A direct hit from outside the 30-yard circle...is a moment that gives you that satisfaction. Three or four-wicket hauls are fine but this run-out will stay with me,"" he stated. ",sports
47,I don't think it was the right approach: Ponting on Pujara's 50 off 176 balls,"Former Australia captain Ricky Ponting has said that India batsman Cheteshwar Pujara's 50-run knock off 176 balls put ""too much"" pressure on his batting partners. ""I don't think it was the right approach, I think he needed to be a bit more proactive with his scoring rate,"" Ponting added. Pujara had scored 16 runs from the first 100 balls.",sports
48,Can't keep a great player down for long: Mike Hussey on Smith's 131,"Reacting to Steve Smith's 27th Test hundred on the second day of the Sydney Test, former Australia batsman Michael Hussey said, ""It shows you should never ever write off a champion."" He added, ""You just can't keep a great player down for long...he played really positive when he first came out, showed a bit more intent against (Ravichandran) Ashwin.""",sports
49,"For someone playing his 2nd Test, Shubman looks assured: Laxman","Ex-India batsman VVS Laxman has praised Shubman Gill after the 21-year-old scored his maiden fifty in Test cricket on the second day of the Sydney Test. ""For someone playing only his 2nd Test match, Shubman looks very assured at the wicket. Good solid defence, positive stroke play and clarity of thought. Definitely has a very bright future,"" tweeted Laxman. ",sports
50,Man finds father's image on Google Earth 7 years after his death; pic goes viral,"A man in Japan found an image of his father, who passed away seven years ago, on Google Earth. Twitter user @TeacherUfo said he decided to search for his parents' house on Google as he was feeling bored during the pandemic. ""My father must have been waiting for my mother....My father was a quiet but kind man,"" he wrote.",world
51,What is the Candida auris outbreak that was reported in a COVID-19 unit in US?,"Candida auris is an emerging fungus that is often multidrug-resistant and some strains are resistant to all three available classes of antifungals, according to US' Centers for Disease Control and Prevention (CDC). The CDC said it is difficult to identify with standard laboratory methods. A Candida auris outbreak was reported in a COVID-19 unit in Florida last year.",world
52,Case filed with Delhi Police against man who waved Tricolour at US Capitol riots,"A complaint has been lodged with the Delhi Police against the Indian-American man Vinson Palathingal who waved the Indian flag during riots at US Capitol. ""I request Facebook and Twitter to suspend [his] account...I request the government to take note of this development,"" the complainant said. Vinson had said he was there to protest ""election fraud"" and ""not for violence"".",world
53,Brazil Prez Bolsonaro asks PM Modi to speed up shipment of 2M vaccine doses,"Brazil President Jair Bolsonaro has written to Prime Minister Narendra Modi to expedite a shipment of Oxford-AstraZeneca and Serum Institute of India's Covishield vaccine. ""To enable immediate implementation of our National Immunisation Program, I'd appreciate...the supply to Brazil, with possible urgency and without jeopardizing Indian vaccination program, of 2 million doses,"" said Bolsonaro.",world
54,Chinese soldier captured at Indian side of LAC in Ladakh,"The Indian Army has said that a Chinese army soldier was apprehended on the Indian side of LAC in Ladakh's South of Pangong Tso lake area. ""The PLA soldier had transgressed across the LAC and was taken into custody by Indian troops,"" it added. The Army stated that the PLA soldier is being dealt with as per laid down procedures.",world
55,Heard rioters saying they want to 'hang Pence' during Capitol riots: Photographer,"Reuters photographer Jim Bourg, who was covering the US Capitol riot, said that he heard at least three different rioters say that they ""hoped to find Vice President Mike Pence and execute him by hanging him from a Capitol Hill tree as a traitor"". ""Many more were just talking about how the VP should be executed,"" he added.",world
56,"Boeing 737 plane in Indonesia falls 10,000 ft within 5 minutes, loses contact","Sriwijaya Air Flight 182 lost contact with Indonesia's aviation authorities minutes after taking off from capital Jakarta, officials have said. The plane was a Boeing 737-500 series and it dropped from almost 11,000 feet to 250 feet within five minutes before disappearing from the radar. The plane was Pontianak-bound.",world
57,Man pictured with foot on US House Speaker's desk during riots arrested,"A man photographed sitting with his foot on a desk in US House Speaker Nancy Pelosi's office during riots at the Capitol has been arrested. Richard Barnett of Arkansas was taken into custody in his home state on federal charges of entering and remaining on restricted grounds, violent entry and theft of public property.",world
58,Man gets fired after photo of him wearing work ID at US Capitol riot goes viral,"A man who wore his work identification badge while he stormed the US Capitol on Wednesday was identified and fired by his employer, a marketing company. In pictures that have gone viral, he was seen wearing the company ID around his neck while wearing a Trump hat and carrying a flag that said ""Trump is my president.""",world
59,"Trump, his family seen celebrating shortly before US Capitol siege; video viral","US President Donald Trump, his daughter Ivanka, son Donald Trump Jr and others were seen celebrating and dancing at an event shortly before the US Capitol siege. A video clip of the celebration has gone viral on social media. Mobs of Trump supporters had attacked the Capitol by scaling walls, smashing windows and damaging offices of American lawmakers.",world
60,Saudi Arabia's King receives first dose of Pfizer COVID-19 vaccine,"Saudi Arabia's King Salman bin Abdulaziz on Friday received his first dose of COVID-19 vaccine. Sharing a picture of the Saudi King getting vaccinated, Health Minister Tawfig AlRabiah said that the government would provide free COVID-19 vaccines to its citizens and residents. The country began the mass vaccination drive against COVID-19 with the Pfizer-BioNTech vaccine on December 17. ",world
61,China to provide COVID-19 vaccine for free to all its citizens,"China will provide COVID-19 vaccine free of cost to its citizens once it becomes available for the general public, government authorities said on Saturday. China has administered over 90 lakh COVID-19 vaccine doses, with over 70 lakh administered since mid-December. Last month, China approved COVID-19 vaccine from state-owned Sinopharm for general use, making it the country's first approved shot.",world
62,Indian students advised to study online as China refuses to permit flights,"Indian students studying in Chinese universities have been advised to study online after China refused to permit charter flights between the two countries owing to the resurgence of COVID-19 cases in China. China has said that the restrictions in place are ""not likely to be relaxed in the coming months"", as per the Indian Embassy in Beijing.",world
63,Bad sign: Mexican Prez after Trump's social media accounts suspended,"Following the suspension of US President Donald Trump's social media accounts, Mexican President Andrés Manuel López Obrador said that it was a ""bad sign"" that private companies could ""silence and censor"" opinion. ""This doesn't bode well and is contrary to freedom,"" he added. Several social media platforms have banned Trump after the riots by his supporters at the US Capitol.",world
64,"Twitter bans Trump's ex-adviser Michael Flynn, other QAnon supporters","Twitter has removed the accounts of US President Donald Trump's former national security adviser Michael Flynn and Sidney Powell, permanently, as part of a broader effort to contain the QAnon conspiracy movement. Their accounts were removed under Twitter's ""coordinated harmful activity"" policy. Ron Watkins, who previously ran 8kun (formerly 8chan) also saw his account removed.",world
65,Twitter suspends account of Trump's team after permanently banning him,"After permanently banning US President Donald Trump, Twitter suspended his presidential campaign account @TeamTrump. The account was suspended shortly after it posted a statement from Trump accusing Twitter of ""banning free speech"" and coordinating with ""the Democrats and the Radical Left"" to silence him. Twitter also deleted new tweets posted by Trump on his official government account @POTUS.",world
66,"Google bans Parler, a social media app popular with Trump supporters","Google has removed Parler, a social media app that is widely popular with far-right conservatives and Trump supporters, from its Play Store. It said the ""continued posting...that seeks to incite ongoing violence in the US"" led to Parler's removal. Apple issued a similar notice to Parler and gave it 24 hours to implement a content moderation plan.",world
67,"BJP MP Tejasvi Surya calls Twitter ban on Trump ""threat to democracy""","Reacting to Twitter's ban on US President Donald Trump following the US Capitol riots, Bengaluru South MP, Tejasvi Surya said that ban on Trump was a wake-up call for those who don't understand the ""threat to our democracy by the unregulated big tech companies"". Twitter on Saturday permanently suspended Trump's account citing the ""risk of further incitement of violence"".",world
68,Indian-American Sabrina Singh named as Dy Press Secy to Kamala Harris,"Indian-American Sabrina Singh has been named as the Deputy Press Secretary to US Vice President-elect Kamala Harris in the White House, Biden-Harris transition team said. She had served as Press Secretary to Harris on the Biden-Harris campaign. Singh was earlier a senior spokesperson on the Mike Bloomberg presidential campaign and National Press Secretary for Cory Booker's presidential campaign.",world
69,House will move to impeach Trump if he doesn’t resign immediately: Pelosi,"US House Speaker Nancy Pelosi has said the House of Representatives will move forward to impeach outgoing President Donald Trump if he doesn't resign immediately. Democrats have accused Trump of inciting riots at the US Capitol on Wednesday. The White House dismissed the impeachment as a ""politically motivated"" move that would ""only serve to further divide our great country"".",world
70,"N Korea's Kim calls US 'biggest enemy', threatens to build more nukes","Calling the US ""biggest enemy"", North Korean leader Kim Jong-un threatened to expand the country's nuclear arsenal. Kim said he wouldn't use his nuclear weapons unless ""hostile forces"" intend to use theirs against his country first. North Korea must strengthen its nuclear capability to resist any potential US invasion, he added. ",world
71,Trump's post-election actions will be judged harshly by history: Haley,"US' ex-ambassador to UN Nikki Haley has said President Donald Trump's ""actions since Election Day will be judged harshly by history"", adding he has ""not always chosen the right words"". He was ""badly wrong"" with his words as rioters stormed the Capitol on Wednesday, Haley added. She made these comments during a meeting of the Republican National Committee on Thursday. ",world
72,Trump-nominated World Bank chief 'deeply appalled' by Capitol violence,"World Bank President David Malpass, a former adviser to President Donald Trump, told his staff he was ""deeply appalled"" by the storming of the Capitol by Trump supporters on Wednesday. Malpass was appointed in April 2019 after being nominated by Trump for a five-year term. He also assured his staff that the bank was working to ensure their security.",world
73,"Iran bans COVID-19 vaccines from UK and US, calls them 'untrustworthy'","Iran's Supreme Leader Ali Khamenei banned the import of COVID-19 vaccines from US and UK, saying they were ""completely untrustworthy"". ""It's not unlikely they would want to contaminate other nations. Given our experience with France's HIV-tainted blood supplies, French vaccines aren't trustworthy either,"" he added. Iran is the worst coronavirus-hit nation in Middle East with over 12 lakh cases.",world
74,Trump supporters who stormed US Capitol are domestic terrorists: Biden,"US President-elect Joe Biden has said President Donald Trump's supporters who stormed the US Capitol on Wednesday were a ""bunch of thugs"" and ""domestic terrorists"". He added that the rioters should be prosecuted. The authorities should be held accountable for the failures in preventing the violence and it should be made sure that this never happens again, Biden further said. ",world
75,TMC MLA Laxmi Ratan Shukla resigns as West Bengal Minister,"TMC MLA and former cricketer Laxmi Ratan Shukla has resigned as the Minister of State for Sports and Youth Services in West Bengal. He has also resigned as the Howrah district president of the party. ""He wrote in his resignation letter that he wants to give more time to sports and will continue as an MLA,"" CM Mamata Banerjee said.",politics
76,"Storming of US Capitol condemnable, will try to speak to Trump: Athawale","Following the storming of the US Capitol by supporters of US President Donald Trump, Union Minister Ramdas Athawale said, ""The incident that took place is condemnable...I will try to speak to Trump over the phone."" Athawale added, ""It's not only an insult to the Republican Party but also to America and democracy. That is why we are expressing our displeasure."" ",politics
77,U'khand CM apologises to Cong leader after state BJP chief calls her 'budhiya',"Uttarakhand Chief Minister Trivendra Singh Rawat has apologised to the Leader of Opposition in state Assembly after state BJP chief Bansidhar Bhagat called her ""budhiya"". A delegation of Congress leaders led by state party chief Pritam Singh met DGP Ashok Kumar and gave a letter demanding an FIR against Bhagat under appropriate sections for his remaks.",politics
78,"I'm sure farm unions will think about farmers' welfare, reach a solution: Tomar","Union Agriculture Minister Narendra Singh Tomar on Wednesday said he is sure the farmer unions that are protesting against the farm laws will think about the welfare of farmers and arrive at a solution through a discussion. He said, ""The government of India is committed to the welfare of farmers."" Farmers will hold a tractor march around Delhi on Thursday.",politics
79,Who will get vaccine with question marks on reliability: Manish Tewari,"Congress leader Manish Tewari on Tuesday said the Centre has ""politically misused"" the COVID-19 pandemic. Without naming the vaccine, Tewari said, ""In their quest to prove their 'Atmanirbhar Bharat' they have licensed a vaccine whose phase 3 trials are not complete."" He added, ""Who is going to get himself vaccinated with a vaccine that has question marks on its reliability?""",politics
80,PM inaugurates 306-km Rewari-Madar section of Western Dedicated Freight Corridor,PM Narendra Modi on Thursday inaugurated the 306-km long New Rewari-New Madar section of the Western Dedicated Freight Corridor. This section of the freight corridor is situated in Haryana and Rajasthan. PM Modi also flagged off the world's first Double Stack Long Haul 1.5-km long container train hauled by electric traction from Haryana's Ateli to Rajasthan's Kishangarh through video conference.,politics
81,"When India stood against terror, world got courage to face challenge: PM","Addressing the inauguration of the 16th Pravasi Bharatiya Divas Convention on Saturday, PM Narendra Modi said, ""When India stood in the face of terrorism, the world too got the courage to face this challenge."" Meanwhile, he added, ""People said that....democracy is impossible in the country but the truth is that India stands together with a strong and vibrant democracy today.""",politics
82,Four-time Gujarat CM Madhavsinh Solanki passes away aged 93,"Veteran Congress leader Madhavsinh Solanki, who had served as the Gujarat CM four times, passed away at the age of 93 at his residence in Gandhinagar on Saturday. Solanki had also served as the External Affairs Minister from June 1991 to March 1992. PM Narendra Modi condoled his demise, tweeting, ""I will always cherish the interactions we had.""",politics
83,"WB CM Mamata stands in line to collect health scheme card, pics surface",West Bengal CM Mamata Banerjee on Tuesday stood in a queue along with other locals to collect her ‘Swasthya Sathi’ smart card from a distribution centre in Kolkata. Banerjee had earlier urged ministers of her government to collect the card. The scheme provides health cover of up to ₹5 lakh per annum to a family for secondary and tertiary care.,politics
84,Reminded of Jallianwala tragedy: Chadha as farmers tear-gassed in Rewari,"AAP MLA and national spokesperson Raghav Chadha on Monday compared Haryana CM ML Khattar to British General Reginald Dyer. This came after Haryana Police fired tear gas canisters on a group of marching protesters in Rewari on Sunday. ""I was reminded of April 1919, when General Dyer ordered opening fire on innocent people who congregated at Jallianwala Bagh,"" said Chadha.",politics
85,Distressed to see news about rioting and violence in Washington DC: PM Modi,"Prime Minister Narendra Modi on Thursday tweeted, ""Distressed to see news about rioting and violence in Washington DC. Orderly and peaceful transfer of power must continue."" He added, ""The democratic process cannot be allowed to be subverted through unlawful protests."" This comes after US President Donald Trump's supporters stormed the US Capitol and disrupted electoral count.",politics
